Show_Name,Date_Close,Date_Open,Year,Days Open,Prod_Type,Show_Type,Theatre,,,,
Rocky,8/17/2014,3/13/2014,2014,157,Premiere,Musical,Winter Garden Theatre,,,,
All the Way,6/29/2014,3/6/2014,2014,115,Revival,Play,Neil Simon Theatre,,,,
The Bridges of Madison County,5/18/2014,2/20/2014,2014,87,Revival,Musical,Gerald Schoenfeld Theatre,,,,
Bronx Bombers,3/2/2014,2/6/2014,2014,24,Premiere,Play,Circle in the Square,,,,
Outside Mullingar,3/16/2014,1/23/2014,2014,52,Production,Play,Samuel J. Friedman Theatre,,,,
Machinal,3/2/2014,1/16/2014,2014,45,Original Production,Play,American Airlines Theatre,,,,
Beautiful: The Carole King Musical,,1/12/2014,2014,,Original Production,Musical,Stephen Sondheim Theatre,,,,
The Rascals: Once Upon a Dream,1/5/2014,12/16/2013,2013,20,Revival,Special,Marquis Theatre,,,,
Waiting for Godot,3/30/2014,11/24/2013,2013,126,Production,Play,Cort Theatre,,,,
No Man's Land,3/29/2014,11/24/2013,2013,125,Revival,Play,Cort Theatre,,,,
Macbeth,1/12/2014,11/21/2013,2013,52,Revival,Play,Vivian Beaumont Theatre,,,,
A Gentleman's Guide to Love & Murder,1/17/2016,11/17/2013,2013,791,Revival,Musical,Walter Kerr Theatre,,,,
700 Sundays,1/5/2014,11/13/2013,2013,53,Original Production,Special,Imperial Theatre,,,,
Richard III,2/1/2014,11/10/2013,2013,83,Revival,Play,Belasco Theatre,,,,
Twelfth Night,2/1/2014,11/10/2013,2013,83,Original Production,Play,Belasco Theatre,,,,
After Midnight,6/29/2014,11/3/2013,2013,238,Revival,Musical,Brooks Atkinson Theatre,,,,
Betrayal,1/5/2014,10/27/2013,2013,70,Production,Play,Ethel Barrymore Theatre,,,,
The Snow Geese,12/14/2013,10/24/2013,2013,51,Original Production,Play,Samuel J. Friedman Theatre,,,,
A Time To Kill,11/17/2013,10/20/2013,2013,28,Production,Play,John Golden Theatre,,,,
The Winslow Boy,12/1/2013,10/17/2013,2013,45,Revival,Play,American Airlines Theatre,,,,
A Night With Janis Joplin,2/9/2014,10/10/2013,2013,122,Production,Musical,Lyceum Theatre,,,,
Big Fish,12/29/2013,10/6/2013,2013,84,Premiere,Musical,Neil Simon Theatre,,,,
The Glass Menagerie,2/23/2014,9/26/2013,2013,150,Premiere,Play,Booth Theatre,,,,
Romeo and Juliet,12/8/2013,9/19/2013,2013,80,Production,Play,Richard Rodgers Theatre,,,,
Soul Doctor,10/13/2013,8/15/2013,2013,59,Revival,Musical,Circle in the Square,,,,
First Date,1/5/2014,8/8/2013,2013,150,Revival,Musical,Longacre Theatre,,,,
Let It Be,9/1/2013,7/24/2013,2013,39,Revival,Special,St. James Theatre,,,,
Forever Tango,9/15/2013,7/14/2013,2013,63,Premiere,Revue,Walter Kerr Theatre,,,,
Pippin,1/4/2015,4/25/2013,2013,619,Production,Musical,Music Box Theatre,,,,
I'll Eat You Last: A Chat With Sue Mengers,6/30/2013,4/24/2013,2013,67,,Play,Booth Theatre,,,,
The Trip to Bountiful,10/9/2013,4/23/2013,2013,169,,Play,Stephen Sondheim Theatre,,,,
The Testament of Mary,5/5/2013,4/22/2013,2013,13,Production,Play,Walter Kerr Theatre,,,,
Alan Cumming's Macbeth,7/14/2013,4/21/2013,2013,84,Revival,Play,Ethel Barrymore Theatre,,,,
Orphans,5/19/2013,4/18/2013,2013,31,Premiere,Play,Gerald Schoenfeld Theatre,,,,
Jekyll & Hyde,5/12/2013,4/18/2013,2013,24,Original Production,Musical,Marquis Theatre,,,,
The Assembled Parties,7/28/2013,4/17/2013,2013,102,Premiere,Play,Samuel J. Friedman Theatre,,,,
The Big Knife,6/2/2013,4/16/2013,2013,47,Revival,Play,American Airlines Theatre,,,,
The Rascals: Once Upon a Dream,5/5/2013,4/16/2013,2013,19,Original Production,Special,Richard Rodgers Theatre,,,,
The Nance,8/11/2013,4/15/2013,2013,118,Production,Play,Lyceum Theatre,,,,
Motown the Musical,1/18/2015,4/14/2013,2013,644,Production,Musical,Lunt-Fontanne Theatre,,,,
Matilda the Musical,1/1/2017,4/11/2013,2013,1361,Revival,Musical,Shubert Theatre,,,,
Kinky Boots,,4/4/2013,2013,,Premiere,Musical,Al Hirschfeld Theatre,,,,
Lucky Guy,7/3/2013,4/1/2013,2013,93,Revival,Play,Broadhurst Theatre,,,,
Hands on a Hardbody,4/13/2013,3/21/2013,2013,23,,Musical,Brooks Atkinson Theatre,,,,
Breakfast at Tiffany's,4/21/2013,3/20/2013,2013,32,Production,Play,Cort Theatre,,,,
Vanya and Sonia and Masha and Spike,8/25/2013,3/14/2013,2013,164,Revival,Play,John Golden Theatre,,,,
Ann,6/30/2013,3/7/2013,2013,115,Revival,Play,Vivian Beaumont Theatre,,,,
Rodgers + Hammerstein's Cinderella,1/3/2015,3/3/2013,2013,671,Original Production,Musical,Broadway Theatre,,,,
Manilow on Broadway,3/2/2013,1/29/2013,2013,32,Production,Special,St. James Theatre,,,,
Cat on a Hot Tin Roof,3/30/2013,1/17/2013,2013,72,Production,Play,Richard Rodgers Theatre,,,,
Picnic,2/24/2013,1/13/2013,2013,42,Revival,Play,American Airlines Theatre,,,,
The Other Place,3/3/2013,1/10/2013,2013,52,Original Production,Play,Samuel J. Friedman Theatre,,,,
Glengarry Glen Ross,1/20/2013,12/8/2012,2012,43,Production,Play,Gerald Schoenfeld Theatre,,,,
Golden Boy,1/19/2013,12/6/2012,2012,44,Premiere,Play,Belasco Theatre,,,,
The Anarchist,12/16/2012,12/2/2012,2012,14,Original Production,Play,John Golden Theatre,,,,
Dead Accounts,1/6/2013,11/29/2012,2012,38,Original Production,Play,Music Box Theatre,,,,
"A Christmas Story, The Musical",12/30/2012,11/19/2012,2012,41,Revival,Musical,Lunt-Fontanne Theatre,,,,
Elf The Musical,1/6/2013,11/18/2012,2012,49,Premiere,Musical,Al Hirschfeld Theatre,,,,
Scandalous,12/9/2012,11/15/2012,2012,24,Original Production,Musical,Neil Simon Theatre,,,,
The Performers,11/18/2012,11/14/2012,2012,4,Revival,Play,Longacre Theatre,,,,
The Mystery of Edwin Drood,3/10/2013,11/13/2012,2012,117,,Musical,Studio 54,,,,
Annie,1/5/2014,11/8/2012,2012,423,Revival,Musical,Palace Theatre,,,,
The Heiress,2/9/2013,11/1/2012,2012,100,Original Production,Play,Walter Kerr Theatre,,,,
Frankie Valli and the Four Seasons in Concert,10/27/2012,10/19/2012,2012,8,Revival,Special,Broadway Theatre,,,,
Who's Afraid of Virginia Woolf?,3/3/2013,10/13/2012,2012,141,Original Production,Play,Booth Theatre,,,,
Cyrano de Bergerac,11/25/2012,10/11/2012,2012,45,Production,Play,American Airlines Theatre,,,,
Lewis Black: Running on Empty,10/20/2012,10/9/2012,2012,11,Revival,Special,Richard Rodgers Theatre,,,,
Grace,1/6/2013,10/4/2012,2012,94,Production,Play,Cort Theatre,,,,
An Enemy of the People,11/18/2012,9/27/2012,2012,52,Production,Play,Samuel J. Friedman Theatre,,,,
Chaplin,1/6/2013,9/10/2012,2012,118,Original Production,Musical,Ethel Barrymore Theatre,,,,
