,Week,Year,Gross,Gross_Diff,Pot_Gross,Potential_Gross_Percent,Average_Paid_Ticket,Top_Ticket,Seats_Sold,Total_Seats,Performances,Capacity,Capacity_Diff,Show_Name,,,,
14,2/24/2008,2008,"$426,472 ","($20,094)","$705,408 ",60.46%,$73.33 ,$251.50 ,5816,8464,8,68.70%,1.60%,November,2008,,,
15,3/2/2008,2008,"$428,021 ","$1,549 ","$705,408 ",60.68%,$74.14 ,$251.50 ,5773,8464,8,68.20%,-0.50%,November,2008,,,
16,3/9/2008,2008,"$459,840 ","$31,819 ","$705,408 ",65.19%,$66.72 ,$251.50 ,6892,8464,8,81.40%,13.20%,November,2008,,,
17,3/16/2008,2008,"$503,678 ","$43,838 ","$705,408 ",71.40%,$70.58 ,$251.50 ,7136,8464,8,84.30%,2.90%,November,2008,,,
18,3/23/2008,2008,"$504,388 ",$710 ,"$705,408 ",71.50%,$70.63 ,$251.50 ,7141,8464,8,84.40%,0.10%,November,2008,,,
19,3/30/2008,2008,"$513,101 ","$8,713 ","$705,408 ",72.74%,$71.56 ,$251.50 ,7170,8464,8,84.70%,0.30%,November,2008,,,
20,4/6/2008,2008,"$400,243 ","($112,858)","$705,408 ",56.74%,$71.36 ,$251.50 ,5609,8464,8,66.30%,-18.40%,November,2008,,,
21,4/13/2008,2008,"$379,784 ","($20,459)","$705,408 ",53.84%,$73.72 ,$251.50 ,5152,8464,8,60.90%,-5.40%,November,2008,,,
22,4/20/2008,2008,"$350,219 ","($29,565)","$705,408 ",49.65%,$74.25 ,$251.50 ,4717,8464,8,55.70%,-5.20%,November,2008,,,
23,4/27/2008,2008,"$446,286 ","$96,067 ","$705,408 ",63.27%,$71.92 ,$251.50 ,6205,8464,8,73.30%,17.60%,November,2008,,,
24,5/4/2008,2008,"$289,220 ","($157,066)","$705,408 ",41.00%,$69.09 ,$251.50 ,4186,8464,8,49.50%,-23.80%,November,2008,,,
25,5/11/2008,2008,"$293,895 ","$4,675 ","$705,408 ",41.66%,$71.73 ,$251.50 ,4097,8464,8,48.40%,-1.10%,November,2008,,,
26,5/18/2008,2008,"$319,421 ","$25,526 ","$705,408 ",45.28%,$72.10 ,$251.50 ,4430,8464,8,52.30%,3.90%,November,2008,,,
27,5/25/2008,2008,"$286,173 ","($33,248)","$705,408 ",40.57%,$66.17 ,$251.50 ,4325,8464,8,51.10%,-1.20%,November,2008,,,
28,6/1/2008,2008,"$259,289 ","($26,884)","$705,408 ",36.76%,$66.62 ,$251.50 ,3892,8464,8,46.00%,-5.10%,November,2008,,,
29,6/8/2008,2008,"$284,001 ","$24,712 ","$705,408 ",40.26%,$66.06 ,$251.50 ,4299,8464,8,50.80%,4.80%,November,2008,,,
30,6/15/2008,2008,"$303,729 ","$19,728 ","$705,408 ",43.06%,$67.41 ,$251.50 ,4506,8464,8,53.20%,2.40%,November,2008,,,
31,6/22/2008,2008,"$304,067 ",$338 ,"$705,408 ",43.11%,$65.83 ,$200.00 ,4619,8464,8,54.60%,1.40%,November,2008,,,
32,6/29/2008,2008,"$314,312 ","$10,245 ","$705,408 ",44.56%,$65.74 ,$200.00 ,4781,8464,8,56.50%,1.90%,November,2008,,,
33,7/6/2008,2008,"$300,479 ","($13,833)","$705,408 ",42.60%,$58.20 ,$200.00 ,5163,8464,8,61.00%,4.50%,November,2008,,,
34,7/13/2008,2008,"$256,268 ","($44,211)","$705,408 ",36.33%,$60.84 ,$200.00 ,4212,8464,8,49.80%,-11.20%,November,2008,,,
7,3/20/1988,1988,"$64,882 ","$64,882 ",$0 ,,$0.00 ,$0.00 ,4737,0,8,0.00%,0.00%,Oba Oba,1988,,,
8,3/27/1988,1988,"$69,804 ","$4,922 ",$0 ,,$0.00 ,$0.00 ,4676,0,8,0.00%,0.00%,Oba Oba,1988,,,
9,4/3/1988,1988,"$84,741 ","$14,937 ",$0 ,,$0.00 ,$0.00 ,3593,0,8,0.00%,0.00%,Oba Oba,1988,,,
10,4/10/1988,1988,"$76,120 ","($8,621)",$0 ,,$0.00 ,$0.00 ,3771,0,8,0.00%,0.00%,Oba Oba,1988,,,
11,4/17/1988,1988,"$74,982 ","($1,138)",$0 ,,$0.00 ,$0.00 ,3880,0,8,0.00%,0.00%,Oba Oba,1988,,,
12,4/24/1988,1988,"$77,204 ","$2,222 ",$0 ,,$0.00 ,$0.00 ,3712,0,8,0.00%,0.00%,Oba Oba,1988,,,
13,5/1/1988,1988,"$80,286 ","$3,082 ",$0 ,,$0.00 ,$0.00 ,3013,0,8,0.00%,0.00%,Oba Oba,1988,,,
14,5/8/1988,1988,"$104,116 ","$23,830 ",$0 ,,$0.00 ,$0.00 ,3931,0,8,0.00%,0.00%,Oba Oba,1988,,,
7,3/11/1990,1990,"$118,223 ","$118,223 ",$0 ,,$0.00 ,$0.00 ,8344,0,7,0.00%,0.00%,Oba Oba  90,1990,,,
8,3/18/1990,1990,"$143,032 ","$24,809 ",$0 ,,$0.00 ,$0.00 ,7990,0,8,0.00%,0.00%,Oba Oba  90,1990,,,
9,3/25/1990,1990,"$167,131 ","$24,099 ",$0 ,,$0.00 ,$0.00 ,7185,0,8,0.00%,0.00%,Oba Oba  90,1990,,,
10,4/1/1990,1990,"$177,851 ","$10,720 ",$0 ,,$0.00 ,$0.00 ,7470,0,8,0.00%,0.00%,Oba Oba  90,1990,,,
11,4/8/1990,1990,"$178,271 ",$420 ,$0 ,,$0.00 ,$0.00 ,8594,0,8,0.00%,0.00%,Oba Oba  90,1990,,,
12,4/15/1990,1990,"$214,827 ","$36,556 ",$0 ,,$0.00 ,$0.00 ,8716,0,8,0.00%,0.00%,Oba Oba  90,1990,,,
13,4/22/1990,1990,"$247,044 ","$32,217 ",$0 ,,$0.00 ,$0.00 ,8844,0,8,0.00%,0.00%,Oba Oba  90,1990,,,
7,9/13/1992,1992,"$32,631 ","$32,631 ",$0 ,,$0.00 ,$0.00 ,3488,0,6,0.00%,0.00%,Oba Oba  93,1992,,,
8,9/20/1992,1992,"$46,162 ","$13,531 ",$0 ,,$0.00 ,$0.00 ,2656,0,8,0.00%,0.00%,Oba Oba  93,1992,,,
9,9/27/1992,1992,"$77,892 ","$31,730 ",$0 ,,$0.00 ,$0.00 ,4858,0,8,0.00%,0.00%,Oba Oba  93,1992,,,
10,10/4/1992,1992,"$90,267 ","$12,375 ",$0 ,,$0.00 ,$0.00 ,7545,0,8,0.00%,0.00%,Oba Oba  93,1992,,,
11,10/11/1992,1992,"$82,693 ","($7,574)",$0 ,,$0.00 ,$0.00 ,3552,0,8,0.00%,0.00%,Oba Oba  93,1992,,,
12,10/18/1992,1992,"$96,787 ","$14,094 ",$0 ,,$0.00 ,$0.00 ,4214,0,8,0.00%,0.00%,Oba Oba  93,1992,,,
7,3/3/1985,1985,"$32,933 ","$32,933 ",$0 ,,$0.00 ,$0.00 ,2795,0,8,0.00%,0.00%,Octette Bridge Club,1985,,,
8,3/10/1985,1985,"$37,320 ","$4,387 ",$0 ,,$0.00 ,$0.00 ,3465,0,8,0.00%,0.00%,Octette Bridge Club,1985,,,
9,3/17/1985,1985,"$51,486 ","$14,166 ",$0 ,,$0.00 ,$0.00 ,4069,0,8,0.00%,0.00%,Octette Bridge Club,1985,,,
10,3/24/1985,1985,"$37,598 ","($13,888)",$0 ,,$0.00 ,$0.00 ,1827,0,8,0.00%,0.00%,Octette Bridge Club,1985,,,
7,3/23/2014,2014,"$688,832 ","$688,832 ","$712,114 ",96.73%,$111.95 ,$223.00 ,6153,6438,6,95.60%,0.00%,Of Mice And Men,2014,,,
8,3/30/2014,2014,"$868,728 ","$179,896 ","$938,132 ",92.60%,$103.54 ,$223.00 ,8390,8584,8,97.70%,97.70%,Of Mice And Men,2014,,,
9,4/6/2014,2014,"$823,309 ","($45,419)","$938,132 ",87.76%,$98.41 ,$223.00 ,8366,8584,8,97.50%,-0.20%,Of Mice And Men,2014,,,
10,4/13/2014,2014,"$796,078 ","($27,231)","$938,132 ",84.86%,$95.67 ,$223.00 ,8321,8584,8,96.90%,-0.60%,Of Mice And Men,2014,,,
11,4/20/2014,2014,"$755,158 ","($40,920)","$825,123 ",91.52%,$100.58 ,$223.00 ,7508,7511,7,100.00%,3.10%,Of Mice And Men,2014,,,
12,4/27/2014,2014,"$897,852 ","$142,694 ","$943,977 ",95.11%,$104.95 ,$223.00 ,8555,8584,8,99.70%,-0.30%,Of Mice And Men,2014,,,
13,5/4/2014,2014,"$864,014 ","($33,838)","$943,977 ",91.53%,$104.06 ,$223.00 ,8303,8584,8,96.70%,-3.00%,Of Mice And Men,2014,,,
14,5/11/2014,2014,"$852,668 ","($11,346)","$943,977 ",90.33%,$104.54 ,$223.00 ,8156,8584,8,95.00%,-1.70%,Of Mice And Men,2014,,,
15,5/18/2014,2014,"$875,771 ","$23,103 ","$943,977 ",92.77%,$103.48 ,$223.00 ,8463,8584,8,98.60%,3.60%,Of Mice And Men,2014,,,
16,5/25/2014,2014,"$859,979 ","($15,792)","$943,977 ",91.10%,$101.91 ,$223.00 ,8439,8584,8,98.30%,-0.30%,Of Mice And Men,2014,,,
17,6/1/2014,2014,"$803,260 ","($56,719)","$943,977 ",85.09%,$98.20 ,$223.00 ,8180,8584,8,95.30%,-3.00%,Of Mice And Men,2014,,,
18,6/8/2014,2014,"$764,761 ","($38,499)","$943,977 ",81.01%,$96.39 ,$223.00 ,7934,8584,8,92.40%,-2.90%,Of Mice And Men,2014,,,
19,6/15/2014,2014,"$806,630 ","$41,869 ","$943,977 ",85.45%,$99.29 ,$223.00 ,8124,8584,8,94.60%,2.20%,Of Mice And Men,2014,,,
20,6/22/2014,2014,"$855,987 ","$49,357 ","$943,977 ",90.68%,$101.78 ,$223.00 ,8410,8584,8,98.00%,3.40%,Of Mice And Men,2014,,,
21,6/29/2014,2014,"$840,010 ","($15,977)","$943,977 ",88.99%,$100.85 ,$223.00 ,8329,8584,8,97.00%,-1.00%,Of Mice And Men,2014,,,
22,7/6/2014,2014,"$755,356 ","($84,654)","$935,462 ",80.75%,$93.06 ,$223.00 ,8117,8584,8,94.60%,-2.40%,Of Mice And Men,2014,,,
23,7/13/2014,2014,"$862,862 ","$107,506 ","$943,977 ",91.41%,$101.66 ,$223.00 ,8488,8584,8,98.90%,4.30%,Of Mice And Men,2014,,,
24,7/20/2014,2014,"$929,343 ","$66,481 ","$943,977 ",98.45%,$108.49 ,$223.00 ,8566,8584,8,99.80%,0.90%,Of Mice And Men,2014,,,
25,7/27/2014,2014,"$1,038,106 ","$108,763 ","$943,977 ",109.97%,$121.06 ,$223.00 ,8575,8584,8,99.90%,0.10%,Of Mice And Men,2014,,,
7,1/1/1989,1989,"$73,845 ","$47,208 ",$0 ,,$0.00 ,$0.00 ,4422,0,10,0.00%,0.00%,Oh Calcutta ,1989,,,
8,1/8/1989,1989,"$40,547 ","($33,298)",$0 ,,$0.00 ,$0.00 ,2749,0,10,0.00%,0.00%,Oh Calcutta ,1989,,,
9,1/15/1989,1989,"$42,072 ","$1,525 ",$0 ,,$0.00 ,$0.00 ,2843,0,10,0.00%,0.00%,Oh Calcutta ,1989,,,
10,1/22/1989,1989,"$35,511 ","($6,561)",$0 ,,$0.00 ,$0.00 ,2441,0,10,0.00%,0.00%,Oh Calcutta ,1989,,,
11,1/29/1989,1989,"$35,664 ",$153 ,$0 ,,$0.00 ,$0.00 ,2464,0,10,0.00%,0.00%,Oh Calcutta ,1989,,,
12,2/5/1989,1989,"$29,696 ","($5,968)",$0 ,,$0.00 ,$0.00 ,2049,0,10,0.00%,0.00%,Oh Calcutta ,1989,,,
13,2/12/1989,1989,"$34,929 ","$5,233 ",$0 ,,$0.00 ,$0.00 ,2401,0,10,0.00%,0.00%,Oh Calcutta ,1989,,,
14,2/19/1989,1989,"$51,851 ","$16,922 ",$0 ,,$0.00 ,$0.00 ,3301,0,10,0.00%,0.00%,Oh Calcutta ,1989,,,
15,2/26/1989,1989,"$40,439 ","($11,412)",$0 ,,$0.00 ,$0.00 ,2742,0,10,0.00%,0.00%,Oh Calcutta ,1989,,,
16,3/5/1989,1989,"$43,316 ","$2,877 ",$0 ,,$0.00 ,$0.00 ,2933,0,10,0.00%,0.00%,Oh Calcutta ,1989,,,
17,3/12/1989,1989,"$44,277 ",$961 ,$0 ,,$0.00 ,$0.00 ,2992,0,10,0.00%,0.00%,Oh Calcutta ,1989,,,
18,3/19/1989,1989,"$48,742 ","$4,465 ",$0 ,,$0.00 ,$0.00 ,3269,0,10,0.00%,0.00%,Oh Calcutta ,1989,,,
19,3/26/1989,1989,"$48,016 ",($726),$0 ,,$0.00 ,$0.00 ,3227,0,10,0.00%,0.00%,Oh Calcutta ,1989,,,
20,4/2/1989,1989,"$34,523 ","($13,493)",$0 ,,$0.00 ,$0.00 ,2371,0,10,0.00%,0.00%,Oh Calcutta ,1989,,,
21,4/9/1989,1989,"$34,523 ",$0 ,$0 ,,$0.00 ,$0.00 ,2371,0,10,0.00%,0.00%,Oh Calcutta ,1989,,,
22,4/16/1989,1989,"$32,792 ","($1,731)",$0 ,,$0.00 ,$0.00 ,2265,0,10,0.00%,0.00%,Oh Calcutta ,1989,,,
23,4/23/1989,1989,"$35,533 ","$2,741 ",$0 ,,$0.00 ,$0.00 ,2442,0,8,0.00%,0.00%,Oh Calcutta ,1989,,,
24,4/30/1989,1989,"$39,558 ","$4,025 ",$0 ,,$0.00 ,$0.00 ,2645,0,10,0.00%,0.00%,Oh Calcutta ,1989,,,
25,5/7/1989,1989,"$54,232 ","$14,674 ",$0 ,,$0.00 ,$0.00 ,3628,0,10,0.00%,0.00%,Oh Calcutta ,1989,,,
26,5/14/1989,1989,"$41,997 ","($12,235)",$0 ,,$0.00 ,$0.00 ,2797,0,10,0.00%,0.00%,Oh Calcutta ,1989,,,
27,5/21/1989,1989,"$41,271 ",($726),$0 ,,$0.00 ,$0.00 ,2760,0,10,0.00%,0.00%,Oh Calcutta ,1989,,,
28,5/28/1989,1989,"$45,943 ","$4,672 ",$0 ,,$0.00 ,$0.00 ,3060,0,10,0.00%,0.00%,Oh Calcutta ,1989,,,
29,6/4/1989,1989,"$36,870 ","($9,073)",$0 ,,$0.00 ,$0.00 ,2529,0,8,0.00%,0.00%,Oh Calcutta ,1989,,,
30,6/11/1989,1989,"$41,291 ","$4,421 ",$0 ,,$0.00 ,$0.00 ,2760,0,8,0.00%,0.00%,Oh Calcutta ,1989,,,
31,6/18/1989,1989,"$42,085 ",$794 ,$0 ,,$0.00 ,$0.00 ,2809,0,8,0.00%,0.00%,Oh Calcutta ,1989,,,
32,6/25/1989,1989,"$37,272 ","($4,813)",$0 ,,$0.00 ,$0.00 ,2549,0,8,0.00%,0.00%,Oh Calcutta ,1989,,,
33,7/2/1989,1989,"$36,686 ",($586),$0 ,,$0.00 ,$0.00 ,2528,0,8,0.00%,0.00%,Oh Calcutta ,1989,,,
34,7/9/1989,1989,"$35,065 ","($1,621)",$0 ,,$0.00 ,$0.00 ,2419,0,8,0.00%,0.00%,Oh Calcutta ,1989,,,
35,7/16/1989,1989,"$36,179 ","$1,114 ",$0 ,,$0.00 ,$0.00 ,2492,0,8,0.00%,0.00%,Oh Calcutta ,1989,,,
36,7/23/1989,1989,"$37,135 ",$956 ,$0 ,,$0.00 ,$0.00 ,2554,0,8,0.00%,0.00%,Oh Calcutta ,1989,,,
37,7/30/1989,1989,"$42,452 ","$5,317 ",$0 ,,$0.00 ,$0.00 ,2908,0,8,0.00%,0.00%,Oh Calcutta ,1989,,,
38,8/6/1989,1989,"$96,112 ","$53,660 ",$0 ,,$0.00 ,$0.00 ,4688,0,8,0.00%,0.00%,Oh Calcutta ,1989,,,
7,1/4/1987,1987,"$20,000 ",$0 ,$0 ,,$0.00 ,$0.00 ,1800,0,8,0.00%,0.00%,Oh Coward,1987,,,
7,1/6/1991,1991,"$153,555 ","($126,428)",$0 ,,$0.00 ,$0.00 ,4317,0,8,0.00%,0.00%,Oh Kay ,1991,,,
8,4/7/1991,1991,"$63,529 ","($90,026)",$0 ,,$0.00 ,$0.00 ,6681,0,8,0.00%,0.00%,Oh Kay ,1991,,,
9,4/14/1991,1991,"$56,798 ","($6,731)",$0 ,,$0.00 ,$0.00 ,4588,0,8,0.00%,0.00%,Oh Kay ,1991,,,
7,1/1/2017,2017,"$911,602 ","$368,446 ","$840,573 ",108.45%,$111.89 ,$248.00 ,8147,8199,9,99.40%,11.40%,Ohhello On Broadway,2017,,,
8,1/8/2017,2017,"$706,473 ","($205,129)","$754,318 ",93.66%,$98.75 ,$248.00 ,7154,7288,8,98.20%,-1.20%,Ohhello On Broadway,2017,,,
9,1/15/2017,2017,"$762,605 ","$56,132 ","$754,318 ",101.10%,$104.70 ,$248.00 ,7284,7288,8,99.90%,1.70%,Ohhello On Broadway,2017,,,
10,1/22/2017,2017,"$804,513 ","$41,908 ","$754,318 ",106.65%,$110.25 ,$248.00 ,7297,7288,8,100.10%,0.20%,Ohhello On Broadway,2017,,,
7,1/5/2003,2003,"$532,954 ","($319,360)","$1,013,585 ",52.58%,$66.66 ,$95.00 ,7995,13368,8,59.80%,-20.50%,Oklahoma ,2003,,,
8,1/12/2003,2003,"$379,855 ","($153,099)","$1,013,585 ",37.48%,$51.57 ,$95.00 ,7366,13368,8,55.10%,-4.70%,Oklahoma ,2003,,,
9,1/19/2003,2003,"$451,472 ","$71,617 ","$1,013,585 ",44.54%,$52.99 ,$95.00 ,8520,13368,8,63.70%,8.60%,Oklahoma ,2003,,,
10,1/26/2003,2003,"$316,460 ","($135,012)","$1,013,585 ",31.22%,$32.80 ,$95.00 ,9648,13368,8,72.20%,8.50%,Oklahoma ,2003,,,
11,2/2/2003,2003,"$296,253 ","($20,207)","$1,013,585 ",29.23%,$47.21 ,$95.00 ,6275,13368,8,46.90%,-25.30%,Oklahoma ,2003,,,
12,2/9/2003,2003,"$356,595 ","$60,342 ","$1,013,585 ",35.18%,$45.00 ,$95.00 ,7924,13368,8,59.30%,12.40%,Oklahoma ,2003,,,
13,2/16/2003,2003,"$502,025 ","$145,430 ","$1,013,585 ",49.53%,$49.90 ,$95.00 ,10061,13368,8,75.30%,16.00%,Oklahoma ,2003,,,
14,2/23/2003,2003,"$480,280 ","($21,745)","$1,013,585 ",47.38%,$45.44 ,$95.00 ,10570,13368,8,79.10%,3.80%,Oklahoma ,2003,,,
7,6/3/2007,2007,"$81,531 ","$81,531 ","$195,496 ",41.70%,$43.90 ,$86.25 ,1857,2960,4,62.70%,0.00%,Old Acquaintance,2007,,,
8,6/10/2007,2007,"$175,424 ","$93,893 ","$390,992 ",44.87%,$42.21 ,$86.25 ,4156,5920,8,70.20%,70.20%,Old Acquaintance,2007,,,
9,6/17/2007,2007,"$166,504 ","($8,920)","$390,992 ",42.59%,$41.78 ,$86.25 ,3985,5920,8,67.30%,-2.90%,Old Acquaintance,2007,,,
10,6/24/2007,2007,"$173,468 ","$6,964 ","$390,992 ",44.37%,$42.47 ,$86.25 ,4084,5920,8,69.00%,1.70%,Old Acquaintance,2007,,,
11,7/1/2007,2007,"$132,766 ","($40,702)","$390,992 ",33.96%,$42.39 ,$86.25 ,3132,5920,8,52.90%,-16.10%,Old Acquaintance,2007,,,
12,7/8/2007,2007,"$115,165 ","($17,601)","$390,992 ",29.45%,$38.34 ,$86.25 ,3004,5920,8,50.70%,-2.20%,Old Acquaintance,2007,,,
13,7/15/2007,2007,"$176,162 ","$60,997 ","$390,992 ",45.06%,$43.79 ,$86.25 ,4023,5920,8,68.00%,17.30%,Old Acquaintance,2007,,,
14,7/22/2007,2007,"$155,086 ","($21,076)","$390,992 ",39.66%,$42.75 ,$86.25 ,3628,5920,8,61.30%,-6.70%,Old Acquaintance,2007,,,
15,7/29/2007,2007,"$152,400 ","($2,686)","$390,992 ",38.98%,$41.39 ,$86.25 ,3682,5920,8,62.20%,0.90%,Old Acquaintance,2007,,,
16,8/5/2007,2007,"$159,121 ","$6,721 ","$390,992 ",40.70%,$42.00 ,$86.25 ,3789,5920,8,64.00%,1.80%,Old Acquaintance,2007,,,
17,8/12/2007,2007,"$158,505 ",($616),"$390,992 ",40.54%,$42.68 ,$86.25 ,3714,5920,8,62.70%,-1.30%,Old Acquaintance,2007,,,
18,8/19/2007,2007,"$163,330 ","$4,825 ","$390,992 ",41.77%,$43.27 ,$86.25 ,3775,5920,8,63.80%,1.10%,Old Acquaintance,2007,,,
7,9/20/2015,2015,"$233,302 ","$233,302 ","$393,550 ",59.28%,$73.48 ,$0.00 ,3175,3700,5,85.80%,0.00%,Old Times,2015,,,
8,9/27/2015,2015,"$358,413 ","$125,111 ","$629,680 ",56.92%,$72.03 ,$0.00 ,4976,5920,8,84.10%,84.10%,Old Times,2015,,,
9,10/4/2015,2015,"$344,384 ","($14,029)","$629,680 ",54.69%,$64.27 ,$0.00 ,5358,5920,8,90.50%,6.40%,Old Times,2015,,,
10,10/11/2015,2015,"$356,649 ","$12,265 ","$629,680 ",56.64%,$70.32 ,$0.00 ,5072,5920,8,85.70%,-4.80%,Old Times,2015,,,
11,10/18/2015,2015,"$426,702 ","$70,053 ","$629,680 ",67.76%,$84.30 ,$0.00 ,5062,5920,8,85.50%,-0.20%,Old Times,2015,,,
12,10/25/2015,2015,"$415,176 ","($11,526)","$629,680 ",65.93%,$83.94 ,$139.00 ,4946,5920,8,83.50%,-2.00%,Old Times,2015,,,
13,11/1/2015,2015,"$352,316 ","($62,860)","$629,680 ",55.95%,$77.96 ,$139.00 ,4519,5920,8,76.30%,-7.20%,Old Times,2015,,,
14,11/8/2015,2015,"$392,201 ","$39,885 ","$629,680 ",62.29%,$83.32 ,$139.00 ,4707,5920,8,79.50%,3.20%,Old Times,2015,,,
15,11/15/2015,2015,"$395,275 ","$3,074 ","$629,680 ",62.77%,$81.08 ,$139.00 ,4875,5920,8,82.30%,2.80%,Old Times,2015,,,
16,11/22/2015,2015,"$400,106 ","$4,831 ","$629,680 ",63.54%,$77.65 ,$139.00 ,5153,5920,8,87.00%,4.70%,Old Times,2015,,,
17,11/29/2015,2015,"$365,051 ","($35,055)","$629,680 ",57.97%,$73.84 ,$139.00 ,4944,5920,8,83.50%,-3.50%,Old Times,2015,,,
7,11/2/2003,2003,"$46,734 ","$46,734 ","$173,256 ",26.97%,$34.88 ,$50.00 ,1340,4376,4,30.60%,0.00%,Oldest Living Confederate Widow Tells All,2003,,,
8,11/9/2003,2003,"$97,731 ","$50,997 ","$346,512 ",28.20%,$34.53 ,$50.00 ,2830,8752,8,32.30%,32.30%,Oldest Living Confederate Widow Tells All,2003,,,
9,11/16/2003,2003,"$78,259 ","($19,472)","$303,198 ",25.81%,$30.90 ,$50.00 ,2533,7658,7,33.10%,0.80%,Oldest Living Confederate Widow Tells All,2003,,,
10,11/23/2003,2003,"$2,478 ","($75,781)","$65,984 ",3.76%,$50.57 ,$76.25 ,49,1094,1,4.50%,-28.60%,Oldest Living Confederate Widow Tells All,2003,,,
7,10/4/2009,2009,"$283,245 ","$283,245 ","$692,560 ",40.90%,$54.63 ,$200.00 ,5185,6320,8,82.00%,0.00%,Oleanna,2009,,,
8,10/11/2009,2009,"$246,675 ","($36,570)","$692,560 ",35.62%,$42.42 ,$200.00 ,5815,6320,8,92.00%,92.00%,Oleanna,2009,,,
9,10/18/2009,2009,"$271,157 ","$24,482 ","$705,440 ",38.44%,$57.07 ,$200.00 ,4751,6432,8,73.90%,-18.10%,Oleanna,2009,,,
10,10/25/2009,2009,"$265,077 ","($6,080)","$705,440 ",37.58%,$61.52 ,$200.00 ,4309,6432,8,67.00%,-6.90%,Oleanna,2009,,,
11,11/1/2009,2009,"$192,932 ","($72,145)","$705,440 ",27.35%,$56.68 ,$200.00 ,3404,6432,8,52.90%,-14.10%,Oleanna,2009,,,
12,11/8/2009,2009,"$233,311 ","$40,379 ","$705,440 ",33.07%,$57.07 ,$200.00 ,4088,6432,8,63.60%,10.70%,Oleanna,2009,,,
13,11/15/2009,2009,"$241,999 ","$8,688 ","$705,440 ",34.30%,$58.19 ,$200.00 ,4159,6432,8,64.70%,1.10%,Oleanna,2009,,,
14,11/22/2009,2009,"$149,424 ","($92,575)","$705,440 ",21.18%,$53.96 ,$200.00 ,2769,6432,8,43.10%,-21.60%,Oleanna,2009,,,
15,11/29/2009,2009,"$129,778 ","($19,646)","$705,440 ",18.40%,$63.00 ,$200.00 ,2060,6432,8,32.00%,-11.10%,Oleanna,2009,,,
16,12/6/2009,2009,"$163,737 ","$33,959 ","$705,440 ",23.21%,$49.86 ,$200.00 ,3284,6432,8,51.10%,19.10%,Oleanna,2009,,,
7,1/1/2012,2012,"$716,511 ","$716,511 ","$1,545,426 ",46.36%,$77.69 ,$302.00 ,9223,12303,9,75.00%,0.00%,On A Clear Day You Can See Forever,2012,,,
8,1/8/2012,2012,"$584,711 ","($131,800)","$1,402,632 ",41.69%,$79.73 ,$302.00 ,7334,10936,8,67.10%,67.10%,On A Clear Day You Can See Forever,2012,,,
9,1/15/2012,2012,"$627,972 ","$43,261 ","$1,402,632 ",44.77%,$79.95 ,$302.00 ,7855,10936,8,71.80%,4.70%,On A Clear Day You Can See Forever,2012,,,
10,1/22/2012,2012,"$574,605 ","($53,367)","$1,402,632 ",40.97%,$75.88 ,$302.00 ,7573,10936,8,69.20%,-2.60%,On A Clear Day You Can See Forever,2012,,,
11,1/29/2012,2012,"$614,214 ","$39,609 ","$1,402,632 ",43.79%,$73.72 ,$302.00 ,8332,10936,8,76.20%,7.00%,On A Clear Day You Can See Forever,2012,,,
7,1/5/1992,1992,"$89,963 ",($726),$0 ,,$0.00 ,$0.00 ,3668,0,7,0.00%,0.00%,On Borrowed Time,1992,,,
7,3/27/2005,2005,"$179,011 ","$179,011 ","$589,041 ",30.39%,$50.23 ,$91.25 ,3564,8536,8,41.80%,0.00%,On Golden Pond,2005,,,
8,4/3/2005,2005,"$197,446 ","$18,435 ","$589,041 ",33.52%,$47.61 ,$91.25 ,4147,8536,8,48.60%,48.60%,On Golden Pond,2005,,,
9,4/10/2005,2005,"$169,659 ","($27,787)","$589,041 ",28.80%,$52.66 ,$91.25 ,3222,8536,8,37.70%,-10.90%,On Golden Pond,2005,,,
10,4/17/2005,2005,"$202,823 ","$33,164 ","$589,041 ",34.43%,$54.48 ,$91.25 ,3723,8536,8,43.60%,5.90%,On Golden Pond,2005,,,
11,4/24/2005,2005,"$231,400 ","$28,577 ","$589,041 ",39.28%,$57.26 ,$91.25 ,4041,8536,8,47.30%,3.70%,On Golden Pond,2005,,,
12,5/1/2005,2005,"$240,835 ","$9,435 ","$589,041 ",40.89%,$55.22 ,$91.25 ,4361,8536,8,51.10%,3.80%,On Golden Pond,2005,,,
13,5/8/2005,2005,"$268,230 ","$27,395 ","$589,041 ",45.54%,$54.53 ,$91.25 ,4919,8536,8,57.60%,6.50%,On Golden Pond,2005,,,
14,5/15/2005,2005,"$218,918 ","($49,312)","$589,041 ",37.17%,$55.96 ,$91.25 ,3912,8536,8,45.80%,-11.80%,On Golden Pond,2005,,,
15,5/22/2005,2005,"$258,722 ","$39,804 ","$589,041 ",43.92%,$53.61 ,$91.25 ,4826,8536,8,56.50%,10.70%,On Golden Pond,2005,,,
16,5/29/2005,2005,"$244,945 ","($13,777)","$589,041 ",41.58%,$54.06 ,$91.25 ,4531,8536,8,53.10%,-3.40%,On Golden Pond,2005,,,
17,6/5/2005,2005,"$220,902 ","($24,043)","$589,041 ",37.50%,$54.44 ,$91.25 ,4058,8536,8,47.50%,-5.60%,On Golden Pond,2005,,,
18,6/12/2005,2005,"$216,695 ","($4,207)","$589,041 ",36.79%,$54.62 ,$91.25 ,3967,8536,8,46.50%,-1.00%,On Golden Pond,2005,,,
