Show,Avg_Cap,Avg_Gross,
Moon Over Buffalo,0.7152,209125.4,1996
Morning Noon And Night,0.84,48394.5,2000
Morning's At Seven,0.5841,153685.56,2002
Mothers And Sons,0.5551,197689.22,2014
Motown The Musical,0.7103,498693.67,2016
Movin Out,0.77,511709.2,2005
Mrs Warren's Profession,0.7632,224421.69,2010
My Fair Lady,0.981,1137561.5,2018
My Love Letter To Broadway,0.9035,927479.5,2016
Natasha Pierre & The Great Comet Of 1812,0.9676,1081564.17,2017
Never Gonna Dance,0.5921,357869.14,2004
Newsies,0.9339,757059.65,2014
Next Fall,0.6194,152841.5,2010
Next To Normal,0.9797,480149.33,2011
Nice Work If You Can Get It,0.6885,682956.92,2013
Night Must Fall,0.6865,146387.85,1999
No Man's Land Waiting For Godot,0.8152,626633.08,2014
Noises Off,0.9584,440652.64,2016
Not About Nightingales,0.7614,136949.22,1999
Of Mice And Men,0.9718,838879.16,2014
Ohhello On Broadway,0.994,796298.25,2017
Oklahoma ,0.6393,414486.75,2003
Old Acquaintance,0.629,150788.5,2007
Old Times,0.8397,367234.09,2015
Oldest Living Confederate Widow Tells All,0.2513,56300.5,2003
Oleanna,0.6223,217733.5,2009
On A Clear Day You Can See Forever,0.7186,623602.6,2012
On Golden Pond,0.4581,210539.36,2005
On The Town,0.594,559956.5,2015
On The Town 1988,0.695,377160.33,1999
On The Twentieth Century,0.966,491229.57,2015
On Your Feet ,0.6561,730680,2017
Once,1.016,967968,2015
Once On This Island,0.9338,528231.5,2018
Once Upon A Mattress,0.6909,279929.32,1997
One Flew Over The Cuckoo's Nest,0.812,323885.9,2001
One Man Two Guvnors,0.8393,594155.27,2012
One Motime,0.322,102860.4,2002
Orphans,0.8168,507014.63,2013
Oslo,0.8921,639720.88,2017
Other Desert Cities,0.7266,377708.12,2012
Our Mother's Brief Affair,0.7281,172774.1,2016
Our Town,0.9985,420770,2003
Outside Mullingar,0.9244,304707,2014
Pacific Overtures,0.875,340360.6,2005
Pal Joey,0.843,352456.11,2009
Parade,0.7149,262175,1999
Paramour,0.8116,989707.88,2017
Passing Strange,0.5213,215057.25,2008
Patti Labelle On Broadway,0.9155,494798.5,1998
Patti Lupone On Broadway,0.517,83374,1995
Penn Teller On Broadway,0.8232,1236389.17,2015
Peter And The Starcatcher,0.7667,478314,2013
Peter Pan,0.742,464495.36,1999
Peter Pan 1990 1991,0.8633,597944.83,1998
Picnic,0.7855,250557,2013
Pippin,0.997,907253,2015
Play On ,0.7438,140269.2,1997
Porgy And Bess,0.682,651714.08,2012
Prelude To A Kiss,0.6645,162413.64,2007
Present Laughter,0.7728,730155.59,2017
Present Laughter 1996 1997,0.7055,166530.81,1997
Pretty Womanthe Musical,0.9937,961716.83,2018
Primo,0.7347,325449.83,2005
Prince Of Broadway,0.8915,320870.08,2017
Priscilla Queen Of The Desert,0.5981,607355.19,2012
Private Lives,0.697,445166,2012
Private Lives 2002,0.7287,354197.05,2002
Private Lives 2011,0.6838,291058.25,2011
Promises Promises,0.864,1336579,2011
Proof,0.655,291473,2003
Proposals,0.3985,150378.5,1998
Prune Danish,0.6096,260056,2002
Prymate,0.1075,27963.75,2004
Putting It Together,0.6293,299218.5,2000
Pygmalion,0.9042,273717.15,2007
Qed,0.9245,82852.22,2002
Rabbit Hole,0.897,246408.08,2006
Race,0.5501,346464.29,2010
Radio Golf,0.5266,165975.91,2007
Ragtime,0.8735,667441,2010
Ragtime 1997 2000,0.8233,624806.67,2000
Rain A Tribute To The Beatles On Broadway,0.7106,422686.04,2011
Reasons To Be Pretty,0.4472,138300.29,2009
Reckless,0.9092,231130,2004
Red,0.8858,427231,2010
Relatively Speaking,0.7312,365632.2,2012
Rent,0.7878,472145.06,2008
Ring Of Fire,0.5054,231260,2006
Ring Round The Moon,0.4825,98683.08,1999
Riverdance,0.7441,525703,2001
Rock  Nroll,0.6186,343404,2008
Rock Of Ages,0.9737,506962.67,2015
Rocktopia,0.8005,736572.67,2018
Rocky,0.7485,711929.63,2014
Romeo And Juliet,0.5566,388049.88,2013
Rose,0.7963,153824.38,2000
Running On Empty,1.005,498838,2012
Sacrilege,0.5158,89363.5,1995
Saint Joan,0.814,213256.1,2018
Salome,0.8968,370242.8,2003
Saturday Night Fever,0.7297,525198.09,2000
Say Goodnight Gracie,0.5378,111711.79,2003
Scandalous,0.5617,190991.56,2012
School For Scandal,0.152,27661,1995
School Of Rock,0.7928,873871.62,2018
Seascape,0.6075,172639.5,2006
Seminar,0.7384,352241.79,2012
Seussical,0.701,427418.75,2001
Seven Guitars,0.6279,161923.33,1996
Sex And Longing,0.831,147493.6,1996
Sexaholix 2001 2002,0.937,321551.83,2002
Sexaholix 2003,0.4113,247730.75,2003
Shadow Box,0.754,112982,1995
Shatner's World We Just Live In It,0.7237,304668.67,2012
She Loves Me,0.8903,559245.57,2016
Shining City,0.875,247467.85,2006
Show Boat,0.83,723344,1997
Shrek The Musical,0.928,1387182,2010
Shuffle Along or the Making Of The Musical Sensation Of 1921 And All That,0.9911,798655,2016
Side Man,0.6364,138753.02,1999
Side Show,0.991,810486,2015
Sight Unseen,0.8538,227051.17,2004
Significant Other,0.5855,170746.9,2017
Sister Act,0.6702,692692,2012
Six Dance Lessons In Six Weeks,0.3874,102393,2003
Six Degrees Of Separation,0.6085,321527.64,2017
Sixteen Wounded,0.3588,101876.2,2004
Skylight,0.9906,723297.07,2015
Slava's Snowshow,0.817,363887,2009
Sly Fox,0.6902,324843.08,2004
Smokey Joe's Cafe,0.5337,286068.33,2000
Something Rotten ,0.969,1478303,2017
Sondheim On Sondheim,0.7945,356842.8,2010
Soul Doctor,0.7543,149266.08,2013
Soul Of Shaolin,0.7863,408453.33,2009
South Pacific,0.7891,562143.65,2010
Souvenir,0.561,145646.5,2006
Spamalot,1.0055,940086,2009
Speed The Plow,0.6014,356993.38,2009
Spider Man Turn Off The Dark,0.964,1782904,2014
Spongebob Squarepants,0.8425,823669.26,2018
Spring Awakening,0.926,614338.25,2016
Springsteen On Broadway,0.9998,2123332.04,2018
Squonk,0.4189,66593.86,2000
Stanley,0.7881,99797.08,1997
State Fair,0.4674,158111.2,1996
Steel Magnolias,0.4977,206981.1,2005
Steel Pier,0.8201,399108.79,1997
Stick Fly,0.6293,303996.22,2012
Stones In His Pockets,0.6874,190411.11,2001
Straight White Men,0.9264,318442.33,2018
Street Corner Symphony,0.5662,83122.8,1998
Summer,0.781,900291.64,2018
Summer And Smoke,0.9713,119441.8,1996
